项目,员工,日期,工时
fasdf,asdfasdf,2026-01-01,5
fasdf,asdfasdf,2026-01-02,5
fasdf,asdfasdf,2026-01-05,5
fasdf,asdfasdf,2026-01-06,5
fasdf,asdfasdf,2026-01-07,5
fasdf,asdfasdf,2026-01-08,5
fasdf,asdfasdf,2026-01-09,5
fasdf,asdfasdf,2026-01-12,5
fasdf,asdfasdf,2026-01-13,5
fasdf,asdfasdf,2026-01-14,5
fasdf,asdfasdf,2026-01-15,5
fasdf,asdfasdf,2026-01-16,5
fasdf,asdfasdf,2026-01-19,5
fasdf,asdfasdf,2026-01-20,5
fasdf,asdfasdf,2026-01-21,5
fasdf,asdfasdf,2026-01-22,5
fasdf,asdfasdf,2026-01-23,5
fasdf,asdfasdf,2026-01-26,5
fasdf,asdfasdf,2026-01-27,5
fasdf,asdfasdf,2026-01-28,5
fasdf,asdfasdf,2026-01-29,5
fasdf,asdfasdf,2026-01-30,5
fasdf,asdfasdf,2026-02-02,5
fasdf,asdfasdf,2026-02-03,5
fasdf,asdfasdf,2026-02-04,5
fasdf,asdfasdf,2026-02-05,5
fasdf,asdfasdf,2026-02-06,5
fasdf,asdfasdf,2026-02-09,5
fasdf,asdfasdf,2026-02-10,5
fasdf,asdfasdf,2026-02-11,5
fasdf,asdfasdf,2026-02-12,5
fasdf,asdfasdf,2026-02-13,5
fasdf,asdfasdf,2026-02-16,5
fasdf,asdfasdf,2026-02-17,5
fasdf,asdfasdf,2026-02-18,5
fasdf,asdfasdf,2026-02-19,5
fasdf,asdfasdf,2026-02-20,5
fasdf,asdfasdf,2026-02-23,5
fasdf,asdfasdf,2026-02-24,5
fasdf,asdfasdf,2026-02-25,5
fasdf,asdfasdf,2026-02-26,5
fasdf,asdfasdf,2026-02-27,5
fasdf,asdfasdf,2026-03-02,5
fasdf,asdfasdf,2026-03-03,5
fasdf,asdfasdf,2026-03-04,5
fasdf,asdfasdf,2026-03-05,5
fasdf,asdfasdf,2026-03-06,5
fasdf,asdfasdf,2026-03-09,5
fasdf,asdfasdf,2026-03-10,5
fasdf,asdfasdf,2026-03-11,5
fasdf,asdfasdf,2026-03-12,5
fasdf,asdfasdf,2026-03-13,5
fasdf,asdfasdf,2026-03-16,5
fasdf,asdfasdf,2026-03-17,5
fasdf,asdfasdf,2026-03-18,5
fasdf,asdfasdf,2026-03-19,5
fasdf,asdfasdf,2026-03-20,5
fasdf,asdfasdf,2026-03-23,5
fasdf,asdfasdf,2026-03-24,5
fasdf,asdfasdf,2026-03-25,5
fasdf,asdfasdf,2026-03-26,5
fasdf,asdfasdf,2026-03-27,5
fasdf,asdfasdf,2026-03-30,5
fasdf,asdfasdf,2026-03-31,5
fasdf,asdfasdf,2026-04-01,5
fasdf,asdfasdf,2026-04-02,5
fasdf,asdfasdf,2026-04-03,5
fasdf,asdfasdf,2026-04-06,5
fasdf,asdfasdf,2026-04-07,5
fasdf,asdfasdf,2026-04-08,5
fasdf,asdfasdf,2026-04-09,5
fasdf,asdfasdf,2026-04-10,5
fasdf,asdfasdf,2026-04-13,5
fasdf,asdfasdf,2026-04-14,5
fasdf,asdfasdf,2026-04-15,5
fasdf,asdfasdf,2026-04-16,5
fasdf,asdfasdf,2026-04-17,5
fasdf,asdfasdf,2026-04-20,5
fasdf,asdfasdf,2026-04-21,5
fasdf,asdfasdf,2026-04-22,5
fasdf,asdfasdf,2026-04-23,5
fasdf,asdfasdf,2026-04-24,5
fasdf,asdfasdf,2026-04-27,5
fasdf,asdfasdf,2026-04-28,5
fasdf,asdfasdf,2026-04-29,5
fasdf,asdfasdf,2026-04-30,5
fasdf,asdfasdf,2026-05-01,5
fasdf,asdfasdf,2026-05-04,5
fasdf,asdfasdf,2026-05-05,5
fasdf,asdfasdf,2026-05-06,5
fasdf,asdfasdf,2026-05-07,5
fasdf,asdfasdf,2026-05-08,5
fasdf,asdfasdf,2026-05-11,5
fasdf,asdfasdf,2026-05-12,5
fasdf,asdfasdf,2026-05-13,5
fasdf,asdfasdf,2026-05-14,5
fasdf,asdfasdf,2026-05-15,5
fasdf,asdfasdf,2026-05-18,5
fasdf,asdfasdf,2026-05-19,5
fasdf,asdfasdf,2026-05-20,5
fasdf,asdfasdf,2026-05-21,5
fasdf,asdfasdf,2026-05-22,5
fasdf,asdfasdf,2026-05-25,5
fasdf,asdfasdf,2026-05-26,5
fasdf,asdfasdf,2026-05-27,5
fasdf,asdfasdf,2026-05-28,5
fasdf,asdfasdf,2026-05-29,5
fasdf,asdfasdf,2026-06-01,4
fasdf,asdfasdf,2026-06-02,4
fasdf,asdfasdf,2026-06-03,4
fasdf,asdfasdf,2026-06-04,4
fasdf,asdfasdf,2026-06-05,4
fasdf,asdfasdf,2026-06-08,4
fasdf,asdfasdf,2026-06-09,4
fasdf,asdfasdf,2026-06-10,4
fasdf,asdfasdf,2026-06-11,4
fasdf,asdfasdf,2026-06-12,4
fasdf,asdfasdf,2026-06-15,4
fasdf,asdfasdf,2026-06-16,4
fasdf,asdfasdf,2026-06-17,4
fasdf,asdfasdf,2026-06-18,4
fasdf,asdfasdf,2026-06-19,4
fasdf,asdfasdf,2026-06-22,4
fasdf,asdfasdf,2026-06-23,4
fasdf,asdfasdf,2026-06-24,4
fasdf,asdfasdf,2026-06-25,4
fasdf,asdfasdf,2026-06-26,4
fasdf,asdfasdf,2026-06-29,2
fasdf,asdfasdf,2026-06-30,2
fefe,阿斯顿福,2026-01-01,8
fefe,阿斯顿福,2026-01-02,8
fefe,阿斯顿福,2026-01-05,8
fefe,阿斯顿福,2026-01-06,8
fefe,阿斯顿福,2026-01-07,8
fefe,阿斯顿福,2026-01-08,8
fefe,阿斯顿福,2026-01-09,8
fefe,阿斯顿福,2026-01-12,8
fefe,阿斯顿福,2026-01-13,8
